2017-06-08 19:59:09,861 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Spring-Hello:Spring-Hello:0.0.1-SNAPSHOT @ C:\mustafa\project\WorkspaceSpring\Spring-Hello\pom.xml.
2017-06-08 19:59:13,729 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-08 19:59:13,736 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\mustafa\project\WorkspaceSpring\Spring-Hello\src\main\resources
2017-06-08 19:59:13,737 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-08 19:59:13,738 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\mustafa\project\WorkspaceSpring\Spring-Hello\src\test\resources
2017-06-08 19:59:13,761 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Spring-Hello/src
2017-06-08 19:59:13,762 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Spring-Hello/src/test/java because it overlaps with /Spring-Hello/src
2017-06-08 19:59:14,074 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-06-08 19:59:14,746 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: Spring-Hello:Spring-Hello:0.0.1-SNAPSHOT @ C:\mustafa\project\WorkspaceSpring\Spring-Hello\pom.xml.
2017-06-08 19:59:15,272 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /Spring-Hello/src
2017-06-08 19:59:15,273 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /Spring-Hello/src/test/java because it overlaps with /Spring-Hello/src
2017-06-08 19:59:15,461 [Worker-16] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for Spring-Hello
2017-06-08 19:59:15,487 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 1 sec
2017-06-08 19:59:15,661 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-08 19:59:15,663 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\mustafa\project\WorkspaceSpring\Spring-Hello\src\main\resources
2017-06-08 19:59:15,664 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-08 19:59:15,665 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\mustafa\project\WorkspaceSpring\Spring-Hello\src\test\resources
2017-06-08 19:59:15,666 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of Spring-Hello
2017-06-08 19:59:15,666 [Worker-21] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for Spring-Hello
